,v_fabricante,v_producto,v_cadena_busqueda,aux.matches.ip_str,aux.matches.isp,aux.matches.location.city,aux.matches.location.longitude,aux.matches.location.latitude,aux.matches.location.country_name,aux.matches.location.country_code3,aux.matches.os,aux.matches.org,aux.matches.asn
83,ACKP,Generic,AKCP Embedded Web Server,129.177.41.157,UNINETT,Bergen,5.32419999999999,60.393,Norway,NOR,NA,UNINETT,AS224
84,ACKP,Generic,AKCP Embedded Web Server,92.175.228.18,Orange,Givet,4.8287,50.1081,France,FRA,NA,Orange,AS3215
85,ACKP,Generic,AKCP Embedded Web Server,64.201.242.195,Paxio,Oakland,-122.2457,37.7898,United States,USA,NA,Paxio,AS36734
86,ACKP,Generic,AKCP Embedded Web Server,202.63.32.11,Eftel Limited.,Narellan,150.7333,-34.0333,Australia,AUS,NA,Eftel Limited.,AS10113
87,ACKP,Generic,AKCP Embedded Web Server,217.122.217.54,Ziggo,Halfweg,4.75049999999999,52.3846,Netherlands,NLD,Windows 7 or 8,Ziggo,AS9143
88,ACKP,Generic,AKCP Embedded Web Server,62.244.88.61,BLUEGIX,Raucourt-et-flaba,4.95699999999999,49.6034,France,FRA,NA,BLUEGIX,AS8565
89,ACKP,Generic,AKCP Embedded Web Server,213.115.5.147,Bredbandsbolaget AB,Göteborg,11.9667,57.7167,Sweden,SWE,NA,Bredbandsbolaget AB,AS2119
90,ACKP,Generic,AKCP Embedded Web Server,216.234.77.148,Ymax Communications Corp,West Palm Beach,-80.0593,26.6693,United States,USA,NA,Ymax Communications Corp,AS19107
91,ACKP,Generic,AKCP Embedded Web Server,92.60.104.243,Nuco Technologies Ltd,NA,-0.122399999999999,51.4964,United Kingdom,GBR,NA,Nuco Technologies Ltd,AS45014
92,ACKP,Generic,AKCP Embedded Web Server,41.220.130.117,Habari Node Ltd,Arusha,36.6833,-3.36670000000001,Tanzania, United Republic of,TZA,NA,Habari Node Ltd,AS36909
93,ACKP,Generic,AKCP Embedded Web Server,92.60.105.3,Nuco Technologies Ltd,NA,-0.122399999999999,51.4964,United Kingdom,GBR,NA,Nuco Technologies Ltd,AS45014
94,ACKP,Generic,AKCP Embedded Web Server,62.48.32.11,Playnet S.R.L.,Florence,11.2463,43.7793,Italy,ITA,NA,Playnet S.R.L.,AS13284
95,ACKP,Generic,AKCP Embedded Web Server,217.112.240.33,TNNet Oy,Kiihtelysvaara,30.25,62.4833,Finland,FIN,NA,TNNet Main Network,AS30798
96,ACKP,Generic,AKCP Embedded Web Server,31.197.110.107,Telecom Italia Business,Cilavegna,8.74469999999999,45.3107,Italy,ITA,NA,Telecom Italia Business,AS3269
97,ACKP,Generic,AKCP Embedded Web Server,199.91.57.47,Trenton Telephone Company,Bryant,-85.6482,34.914,United States,USA,NA,Trenton Telephone Company,AS32040
